generation,scope,family,candidate_count,valid_count,best_fitness,mean_fitness,best_birth_generation,best_birth_index
0,family,acd,1,1,0.7421471318034593,0.7421471318034593,0,5
0,family,markov_packet_train,1,0,0.0,0.0,0,7
0,family,markov_renewal,1,1,0.8636028231040744,0.8636028231040744,0,3
0,family,mmpp,1,1,0.7220251606878283,0.7220251606878283,0,2
0,family,nhpp,2,2,0.7760158275464664,0.7589979807417517,0,1
0,family,packet_hmm,1,0,0.0,0.0,0,4
0,family,poisson_empirical,1,1,0.7427053240822593,0.7427053240822593,0,6
0,overall,,8,6,0.8636028231040744,0.5735595501451406,0,3
1,family,acd,1,1,0.7421471318034593,0.7421471318034593,0,5
1,family,markov_packet_train,1,0,0.0,0.0,0,7
1,family,markov_renewal,2,2,0.8636028231040744,0.8636028231040744,0,3
1,family,mmpp,1,1,0.7220251606878283,0.7220251606878283,0,2
1,family,nhpp,1,1,0.7760158275464664,0.7760158275464664,0,1
1,family,packet_hmm,1,0,0.0,0.0,0,4
1,family,poisson_empirical,1,1,0.7427053240822593,0.7427053240822593,0,6
1,overall,,8,6,0.8636028231040744,0.5887623862910203,0,3
