generation,scope,family,candidate_count,valid_count,best_fitness,mean_fitness,best_birth_generation,best_birth_index
0,family,markov_renewal,2,2,0.659167765840083,0.6573338346494741,0,0
0,family,mmpp,2,2,0.38220514559434204,0.3806551103645426,0,5
0,family,poisson_empirical,2,2,0.5197889690690449,0.517281733984168,0,2
0,overall,,6,6,0.659167765840083,0.5184235596660616,0,0
1,family,markov_renewal,3,3,0.6591772042229938,0.659170804104095,1,2
1,family,mmpp,1,1,0.38220514559434204,0.38220514559434204,0,5
1,family,poisson_empirical,2,2,0.5197889690690449,0.5145941998600136,0,2
1,overall,,6,6,0.6591772042229938,0.5648176596044424,1,2
